Measurement,Ret,Sha,Sor,Ste,Cal
Ret,38.29,28.28,29.21,25.16,24.89
AvgRet,4.269,3.339,3.447,3.008,2.97
Std,65.763,66.946,69.655,63.501,61.861
MDD,-0.0962,-0.1795,-0.1863,-0.1659,-0.1525
VaR,-0.0126,-0.0135,-0.0137,-0.0131,-0.0135
CVaR,-0.0196,-0.0209,-0.0219,-0.0189,-0.018
