Measurement,Ret,Sha,Sor,Ste,Cal
Sharpe,1.566,1.152,1.142,1.086,1.103
Sortino,2.072,1.359,1.386,1.387,1.497
Sterling,6.563,5.377,5.24,4.59,4.744
Calmar,2.444,0.981,0.975,0.949,1.021
