0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.05663049,0.06415407,0.045279846,0.0668183,0.04705991,0.059612982,0.06535973,0.051201828,0.055088732,0.060004395,0.06273057,0.06452084,0.044524554,0.04133718,0.04872852,0.052222174,0.05667473,0.058051135
0.05099006,0.05759784,0.051020406,0.06120941,0.051299132,0.051795874,0.06353702,0.04828863,0.0432248,0.06519622,0.06276691,0.067082405,0.04234224,0.040113296,0.054084938,0.06652914,0.064674936,0.058246735
0.058376234,0.06057625,0.05358097,0.06468553,0.03529776,0.05544648,0.087228514,0.029053636,0.05624892,0.08130422,0.04302679,0.062878504,0.04633829,0.039065477,0.08014954,0.046352576,0.051947106,0.04844316
0.06477082,0.08110134,0.054571856,0.05294552,0.055035505,0.09678985,0.08751698,0.040487625,0.07558264,0.038038205,0.08111666,0.019730138,0.047570296,0.054390483,0.017513838,0.050318852,0.042493116,0.04002626
0.057531305,0.05200542,0.017642995,0.048817217,0.032257438,0.10047346,0.08042198,0.100614004,0.06987135,0.05481304,0.04721889,0.07695113,0.053430803,0.03141305,0.012526825,0.051160116,0.039358933,0.0734921
0.07196196,0.06235838,0.07896253,0.037847847,0.033670638,0.008002969,0.035999045,0.046501614,0.038456134,0.069575414,0.04730631,0.083188325,0.083831675,0.045840904,0.033609115,0.04929343,0.10541788,0.06817585
0.086739294,0.0688333,0.0296456,0.04032369,0.07679343,0.056836195,0.054107558,0.020006921,0.027809095,0.020157894,0.07941579,0.089755856,0.05409846,0.073537596,0.057039563,0.04245231,0.032211795,0.09023572
0.04927956,0.036809836,0.020102115,0.06283546,0.075582825,0.05583485,0.06975055,0.089125045,0.053562403,0.06963652,0.09109961,0.011747881,0.059657842,0.06517452,0.058041908,0.05747499,0.030482583,0.043801475
0.054972295,0.06884282,0.017651057,0.05731239,0.07689792,0.0068184305,0.094069734,0.049054027,0.05553156,0.07528304,0.040886655,0.0631602,0.020133171,0.08214089,0.044855546,0.06609501,0.020835375,0.10545975
0.04612978,0.08528117,0.025487628,0.060569126,0.036849864,0.053405117,0.029529436,0.014346606,0.09277305,0.08307112,0.053513702,0.07424814,0.024204716,0.015910706,0.030698951,0.07757587,0.10695987,0.08944507
0.08394148,0.07487724,0.06681438,0.082575455,0.073205665,0.03220468,0.049125437,0.062403705,0.07923029,0.03157916,0.044317763,0.04920126,0.040081795,0.017053131,0.09165963,0.010603245,0.0696416,0.04148397
0.10239671,0.045476753,0.033214595,0.09292475,0.069916494,0.094912976,0.06610825,0.019676585,0.09365467,0.024305576,0.01636114,0.07349985,0.03207978,0.09034686,0.07159422,0.02497261,0.0076145437,0.04094366
0.02475091,0.05134495,0.09992171,0.08551203,0.028303597,0.04114596,0.089532636,0.015304295,0.09688473,0.08364263,0.038164873,0.09571007,0.0138288,0.044517785,0.0630935,0.041496344,0.023963705,0.06288152
0.074302465,0.056748874,0.015950346,0.006395269,0.01223649,0.12560534,0.0037528193,0.008424804,0.12391126,0.038348276,0.016167846,0.024092186,0.07656004,0.03675414,0.12475267,0.08658674,0.07976353,0.08964692
0.063356124,0.13521768,0.047426414,0.04598082,0.018113066,0.06854962,0.013455529,0.10329328,0.10499767,0.002587957,0.11597916,0.0049720174,0.049748536,0.01824912,0.059210442,0.0045377803,0.13756979,0.006755003
0.038787574,0.054623567,0.091271795,0.018097103,0.050878506,0.06911247,0.061667502,0.08124281,0.017314559,0.060972244,0.09052114,0.07653175,0.096685015,0.046205997,0.06778325,0.021626253,0.040478315,0.016200118
0.010328252,0.07791762,0.09051516,0.06094875,0.056971736,0.05079558,0.1032907,0.059706774,0.028823977,0.06607415,0.05319611,0.09871378,0.001192997,0.010194743,0.011488917,0.060278665,0.06504678,0.09451523
0.06019778,0.0019287543,0.05233691,0.047450952,0.10398463,0.06148856,0.011960907,0.09671459,0.06711523,0.09468427,0.0030751093,0.006499686,0.1030198,0.08393026,0.09456274,0.025167648,0.06456799,0.02131419
0.043348297,0.060105834,0.017812539,0.041802824,0.057713144,0.08519144,0.084408246,0.049771022,0.026534174,0.060047008,0.07469738,0.027527526,0.06793273,0.061470944,0.08026201,0.014490783,0.06922818,0.07765588
0.0061270376,0.13872789,0.022643525,0.016465966,0.033253897,0.00073943165,0.0068360097,0.062247094,0.09358629,0.14702372,0.0788832,0.07829624,0.06839083,0.04238603,0.07289051,0.019060098,0.048151866,0.064290375
0.08782898,0.07317157,0.003331771,0.013228086,0.017125903,0.1049368,0.012642938,0.13165276,0.09300376,0.0054730596,0.10963512,0.06312719,0.099860094,0.05021147,0.00931294,0.008456517,0.057036735,0.059964377
0.048963867,0.019886244,0.07722585,0.020662637,0.066132784,0.047920376,0.043604422,0.0813516,0.084367365,0.08326009,0.034103304,0.048350807,0.09067812,0.046454027,0.0407224,0.056920193,0.065984584,0.043411355
0.065198295,0.03924371,0.067016296,0.022554591,0.069292724,0.10560356,0.0415484,0.034733303,0.023373635,0.077734455,0.089897096,0.03793212,0.08155976,0.09077221,0.013122171,0.04474112,0.047829766,0.047846857
0.088865876,0.09754756,0.078816906,0.05547684,0.03849858,0.09492062,0.08217391,0.032580394,0.017659679,0.009430151,0.10186126,0.00029602114,0.07928914,0.0872792,0.009289091,0.028484518,0.04838327,0.04914691
0.029920261,0.008109092,0.11158018,0.02991372,0.02543576,0.09576775,0.08349565,0.011564356,0.03163647,0.036971953,0.11917181,0.06415299,0.104463436,0.025947828,0.015594108,0.045476824,0.042715177,0.11808268
0.005571419,0.06786295,0.08637451,0.088400155,0.091733806,0.08595013,0.033029906,0.03207268,0.050872393,0.06165369,0.090376064,0.030232975,0.037293658,0.004838878,0.07274945,0.014280433,0.09197025,0.054736663
0.02386345,0.092608295,0.08997962,0.038081467,0.08959622,0.037292253,0.08184023,0.0890625,0.017359775,0.041315287,0.07531393,0.060771167,0.00936689,0.086694464,0.040848304,0.04263809,0.01698464,0.0663834
0.0841393,0.067779124,0.01939329,0.06503945,0.019883752,0.07515718,0.06656405,0.011134014,0.024831792,0.07994996,0.067505784,0.09279531,0.09278134,0.011665409,0.07220752,0.04839955,0.0014657644,0.09930743
0.09454737,0.09101663,0.012808023,0.11234946,0.084272936,0.010420251,0.043927565,0.059266508,0.10552718,0.022814563,0.098054364,0.005063097,0.028681137,0.11171391,0.09241348,0.010158666,0.014033635,0.0029313583
