Measurment,Ret,Sha,Sor,Ste,Cal
Active return,-4.93,22.17,-4.17,18.1,6.51
mu(all),-8.64,0.2,-5.14,-2.96,-3.1
sig(all),3.37,3.69,3.3,3.82,3.47
mu(sel),-3.44,-1.57,-0.72,5.41,2.32
sig(sel),2.83,3.45,3.14,2.96,3.13
