EQNR.OL,ORK.OL,NHY.OL,TEL.OL,STB.OL,WAWI.OL,AKRBP.OL,MOWI.OL,YAR.OL,NOD.OL,DNB.OL,SNI.OL,SUBC.OL,SALM.OL,RECSI.OL,ATEA.OL,GJF.OL,BELCO.OL,BWO.OL,LSG.OL,BRG.OL,BOUV.OL,AKER.OL,ODF.OL
-0.4512006930458049,0.460013107814741,-0.16352954641552347,-0.3181510965197287,-0.26457259201944244,0.8892019210117631,-0.385630320355815,-0.7909426668044924,-0.15972463025492117,-0.1849642677555524,-0.4836008590552693,-0.5660854657933316,-0.29827269856530686,-1.1056353856138803,0.19369995769331955,-0.007727315264638332,1.1487709128658963,-0.24353313166056362,1.900065644742351,-0.5766845705091553,2.063741240134587,0.37897091335126293,0.3392488683368782,0.4338191193335075
-0.4512006930458049,0.460013107814741,-0.16352954641552347,-0.3181510965197287,-0.26457259201944244,0.8892019210117631,-0.385630320355815,-0.7909426668044924,-0.15972463025492117,-0.1849642677555524,-0.4836008590552693,-0.5660854657933316,-0.29827269856530686,-1.1056353856138803,0.19369995769331955,-0.007727315264638332,1.1487709128658963,-0.24353313166056362,1.900065644742351,-0.5766845705091553,2.063741240134587,0.37897091335126293,0.3392488683368782,0.4338191193335075
-0.4512006930458049,0.460013107814741,-0.16352954641552347,-0.3181510965197287,-0.26457259201944244,0.8892019210117631,-0.385630320355815,-0.7909426668044924,-0.15972463025492117,-0.1849642677555524,-0.4836008590552693,-0.5660854657933316,-0.29827269856530686,-1.1056353856138803,0.19369995769331955,-0.007727315264638332,1.1487709128658963,-0.24353313166056362,1.900065644742351,-0.5766845705091553,2.063741240134587,0.37897091335126293,0.3392488683368782,0.4338191193335075
-0.4512006930458049,0.460013107814741,-0.16352954641552347,-0.3181510965197287,-0.26457259201944244,0.8892019210117631,-0.385630320355815,-0.7909426668044924,-0.15972463025492117,-0.1849642677555524,-0.4836008590552693,-0.5660854657933316,-0.29827269856530686,-1.1056353856138803,0.19369995769331955,-0.007727315264638332,1.1487709128658963,-0.24353313166056362,1.900065644742351,-0.5766845705091553,2.063741240134587,0.37897091335126293,0.3392488683368782,0.4338191193335075
-0.8925354949688104,-0.6949154357781347,-0.35636321541419275,-0.5309676211538045,0.10358532787339332,0.30068192057178955,0.1367233978611242,-0.6634738038195835,-0.015222638993973383,-0.4725411521231492,-0.5497427106324719,-0.47204050625887717,-0.8166526659686224,-1.1545549967082542,2.3108076472611447,-0.27115367011696073,-0.2591645641348662,0.0896402036178748,3.1667893064727384,-0.7999018874791284,0.2899722344281483,-0.11595857975779686,-0.18153594831908676,0.3801174259616589
-0.8925354949688104,-0.6949154357781347,-0.35636321541419275,-0.5309676211538045,0.10358532787339332,0.30068192057178955,0.1367233978611242,-0.6634738038195835,-0.015222638993973383,-0.4725411521231492,-0.5497427106324719,-0.47204050625887717,-0.8166526659686224,-1.1545549967082542,2.3108076472611447,-0.27115367011696073,-0.2591645641348662,0.0896402036178748,3.1667893064727384,-0.7999018874791284,0.2899722344281483,-0.11595857975779686,-0.18153594831908676,0.3801174259616589
-0.4201309533651916,-0.5507053968015803,-0.4880652759309905,-0.9126977950114039,0.7056167721141074,0.540685057511641,-0.11797749172651438,-0.5048193714804051,-0.5591992963239057,-0.44987411954091483,-0.19529897520953227,-0.2554944321993823,-0.14033190351823016,-1.0581817077664135,2.8656228345185863,-0.44686122852506294,0.09257457098100642,-0.4216799772091374,0.7866390492648595,-0.7924299465441057,0.2732007319914589,0.21732727418769793,-0.31744855682542544,1.1087292544767404
-0.4201309533651916,-0.5507053968015803,-0.4880652759309905,-0.9126977950114039,0.7056167721141074,0.540685057511641,-0.11797749172651438,-0.5048193714804051,-0.5591992963239057,-0.44987411954091483,-0.19529897520953227,-0.2554944321993823,-0.14033190351823016,-1.0581817077664135,2.8656228345185863,-0.44686122852506294,0.09257457098100642,-0.4216799772091374,0.7866390492648595,-0.7924299465441057,0.2732007319914589,0.21732727418769793,-0.31744855682542544,1.1087292544767404
-0.7763119396243248,-0.7924763628209164,-0.7399785134291225,-0.7812836347206584,0.4797130029686749,-0.19009390779381782,-0.4386583656631855,-0.6652651891626375,-0.6224308457038654,-0.89767304471443,0.05313755770975273,-0.5824540505224297,-0.7189949035642287,-1.0471478016068965,0.3070674771734981,0.041556390158086064,-0.7558015431333469,-0.1152601965209197,0.7858678510556499,-0.7501719694782554,2.766166547521527,-0.35259153605909815,-0.7318247873871675,1.444418668938296
-0.7763119396243248,-0.7924763628209164,-0.7399785134291225,-0.7812836347206584,0.4797130029686749,-0.19009390779381782,-0.4386583656631855,-0.6652651891626375,-0.6224308457038654,-0.89767304471443,0.05313755770975273,-0.5824540505224297,-0.7189949035642287,-1.0471478016068965,0.3070674771734981,0.041556390158086064,-0.7558015431333469,-0.1152601965209197,0.7858678510556499,-0.7501719694782554,2.766166547521527,-0.35259153605909815,-0.7318247873871675,1.444418668938296
