Measurment,Ret,Sha,Sor,Ste,Cal
Active return,18.93,5.25,-0.13,2.16,25.51
mu(all),-6.0,-5.43,-2.97,-0.84,-2.69
sig(all),3.33,3.77,3.28,3.4,3.22
mu(sel),1.26,-5.05,0.0,-1.67,-3.64
sig(sel),3.09,2.76,2.83,3.22,3.02
