0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.03962354,0.06687823,6.687823e-10,6.687823e-10,0.06687823,0.046832595,0.06687823,0.06687823,1.9998143e-07,0.056529183,0.06687823,0.06687823,0.06687823,6.687823e-10,0.066654064,0.066803925,0.03857432,0.037381623,0.040466644,6.687823e-10,0.06687823,0.0052299006,6.687823e-10,0.06687823
0.03962354,0.06687823,6.687823e-10,6.687823e-10,0.06687823,0.046832595,0.06687823,0.06687823,1.9998143e-07,0.056529183,0.06687823,0.06687823,0.06687823,6.687823e-10,0.066654064,0.066803925,0.03857432,0.037381623,0.040466644,6.687823e-10,0.06687823,0.0052299006,6.687823e-10,0.06687823
0.039738476,0.06616922,6.616922e-10,6.616922e-10,0.06616922,0.048898317,0.06616922,0.06616922,1.1109349e-07,0.059630655,0.06616922,0.06616922,0.06616922,6.616922e-10,0.06587352,0.066111095,0.040669248,0.036905564,0.040834177,6.616922e-10,0.06616922,0.0058158715,6.616922e-10,0.06616922
0.038634915,0.06670742,6.670742e-10,6.670742e-10,0.06670742,0.04303421,0.06670742,0.06670742,1.4380565e-07,0.055099495,0.06670742,0.06670742,0.06670742,6.670742e-10,0.0663767,0.066632226,0.04327705,0.039419137,0.04105353,6.670742e-10,0.06670742,0.006105861,6.670742e-10,0.06670742
0.040559616,0.06602713,6.602713e-10,6.602713e-10,0.06602713,0.046223976,0.06602713,0.06602713,1.4627463e-07,0.05682319,0.06602713,0.06602713,0.06602713,6.602713e-10,0.065670915,0.06597128,0.04315972,0.039869044,0.041176815,6.602713e-10,0.06602713,0.006301159,6.602713e-10,0.06602713
0.040408667,0.06685878,6.6858785e-10,6.6858785e-10,0.06685878,0.04861252,0.06685878,0.06685878,1.7999781e-07,0.0581543,0.06685878,0.06685878,0.06685878,6.6858785e-10,0.066621274,0.06682086,0.030143024,0.04041906,0.042367816,6.6858785e-10,0.06685878,0.0047232974,6.6858785e-10,0.06685878
0.037370555,0.06570367,6.5703665e-10,6.5703665e-10,0.06570367,0.043625917,0.06570367,0.06570367,1.5143242e-07,0.05885549,0.06570367,0.06570367,0.06570367,6.5703665e-10,0.065475926,0.0656448,0.047712397,0.04229992,0.039219674,6.5703665e-10,0.06570367,0.00846216,6.5703665e-10,0.06570367
0.036232878,0.06603849,6.603849e-10,6.603849e-10,0.06603849,0.04573142,0.06603849,0.06603849,2.0140662e-07,0.058379225,0.06603849,0.06603849,0.06603849,6.603849e-10,0.06583853,0.06598036,0.045200363,0.038902495,0.044290118,6.603849e-10,0.06603849,0.005098006,6.603849e-10,0.06603849
0.031968053,0.065599136,6.559914e-10,6.559914e-10,0.065599136,0.04232403,0.065599136,0.065599136,1.2773141e-07,0.061516777,0.065599136,0.065599136,0.065599136,6.559914e-10,0.06538051,0.065563366,0.055022072,0.042047217,0.036992084,6.559914e-10,0.065599136,0.008793603,6.559914e-10,0.065599136
0.038403776,0.06613348,6.6133476e-10,6.6133476e-10,0.06613348,0.04907967,0.06613348,0.06613348,3.5739987e-07,0.057287958,0.06613348,0.06613348,0.06613348,6.6133476e-10,0.0660126,0.06603678,0.04550696,0.040257152,0.036730256,6.6133476e-10,0.06613348,0.0054832553,6.6133476e-10,0.06613348
