Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20
0.0,0.0013146671133492298,1.061726662022338e-08,0.0883517115873883,0.00017202360809751425,0.001179591593090093,2.654316655055845e-09,0.08131763973565756,0.08906408770853881,0.08906393375817281,0.0884008482973067,0.08905989388822382,0.0837506660111814,0.0006215241706812565,0.0423274878848295,5.043201644606106e-08,0.08727196742391144,0.08591876494136412,0.08314086330284887,0.08904426527175885
0.0,0.0014003043917675858,7.939508755757741e-09,0.08761574490438821,7.724877369060424e-05,0.0010996854787424933,0.0,0.0815526808199896,0.08880190221949258,0.08880171167128245,0.08810684586497852,0.08879979560316939,0.08415779243292884,0.000801736887162254,0.042121960111955646,5.028355545313236e-08,0.08755737363601589,0.08534892517352015,0.08497428622036513,0.08878194758748645
0.0,0.0012961411755673365,5.3294730751835885e-09,0.08869466844123552,0.00011294752288236578,0.0010534076596215626,0.0,0.07641457119402056,0.0894137209485393,0.08941351309908936,0.08893309840767309,0.08941288422126649,0.0850294778884972,0.0013443649126881354,0.04274650173986911,3.997104806387691e-08,0.08790474993045104,0.08355289940775991,0.08528261187114919,0.08939439627916869
0.0,0.0011873641275452409,5.2824211051655345e-09,0.08791021050479798,0.00013539109413594525,0.000629815144737229,0.0,0.07786881396661997,0.08862431988432089,0.08862412443474,0.08813614493788702,0.08862261894472503,0.08452840451327101,0.0014239347155295267,0.04525103633970815,3.433573718357598e-08,0.08682509027895377,0.0856325256078305,0.08599143442739987,0.08860873145963954
0.0,0.000687307867240093,5.317436141905706e-09,0.08848420588397014,0.00011037933943367864,0.0006956163612118206,0.0,0.07167541801887628,0.08921177471895868,0.08921159392612986,0.08876181327263062,0.08921049853428462,0.085266699718609,0.0028387664587177803,0.04534468130216343,3.722205299333994e-08,0.08752030891709076,0.08534037279635509,0.08644398539786305,0.08919653494697598
0.0,0.0006330104177600139,5.272187111755318e-09,0.08786211592107006,0.0001328485708420105,0.0005366137486086797,0.0,0.07306980346475325,0.0884526219663351,0.08845249543384441,0.08800563539862626,0.08845022839338636,0.08433963063484143,0.002422859948142715,0.05043987346466234,3.954140333816488e-08,0.0867459675485759,0.08574591273628258,0.08627292055997365,0.08843741697870479
0.0,0.00046804639147400703,7.837566210387772e-09,0.08734771602321911,0.00042389999353296287,0.0003141610039771834,0.0,0.07377673500294638,0.08766169415065139,0.08766162100003343,0.08731343450861488,0.0876568818849982,0.08372685448481448,0.002416360850493602,0.05660139313366395,2.6125220701292572e-08,0.08502004768448433,0.08630454118566064,0.08566429040193406,0.08764228833671447
0.0,0.0005020492411949724,5.18153450434476e-09,0.08661588833666714,0.00028109565609345103,0.0002820542399767548,0.0,0.0737404849635975,0.08693172359084497,0.08693167177549993,0.0865627776079976,0.08692857839940082,0.08361104393611456,0.0024771724712336295,0.06204885496339048,2.8498439773896178e-08,0.08535386342971991,0.08553521713737199,0.08528702163461387,0.08691046893630815
0.0,0.0005057928931820876,5.213446026800329e-09,0.08725252987095383,0.00022379499086944433,0.0003946578642287849,0.0,0.07385818083302062,0.08746711009597091,0.0874670683884027,0.08705691616258227,0.08746582758824832,0.08399748877689092,0.001801957237642172,0.059376499851399846,2.3460507120601483e-08,0.08604636785197742,0.08519509553093736,0.08444716935048656,0.08744351403925361
0.0,0.00043020255685831936,5.2501501917028025e-09,0.0878376062813826,0.00017074538453455855,0.0005622333338792615,2.6250750958514013e-09,0.07007352360204887,0.08808290379863933,0.08808287229773817,0.08765768363431294,0.08808094024246764,0.0841677092961808,0.001834444478182493,0.057492074182952664,2.6250750958514015e-08,0.08694455573377395,0.08608648168674242,0.08443541445445572,0.08806057490987401
0.0,0.00016281573336204567,8.11225855883704e-09,0.09045250497323364,0.00015794567414055717,0.0009871618154215756,5.408172372558027e-09,0.05934322105522215,0.09073407605963849,0.090734054426949,0.09041105674017035,0.09073125840183238,0.08600139523275771,0.003424873879662616,0.047674348241813165,2.1632689490232107e-08,0.08937325009456595,0.08748791253194087,0.08160433476697312,0.09071975521919595
0.0,0.0002655935925100117,5.377858169945465e-09,0.08982575193676773,7.090705997073095e-05,0.0007333220511246786,2.6889290849727325e-09,0.06993420004992965,0.09022548813453977,0.0902254666231071,0.0898419500455756,0.09022276693830578,0.08571077620087056,0.002908496278335266,0.0504842240974258,2.6889290849727323e-08,0.0895166272713011,0.0829134510066244,0.07690481847406787,0.0902161252834659
0.0,0.0002163396818964677,8.156272173845439e-09,0.09075907086487903,9.91422070304826e-05,0.0007883852683239,8.156272173845439e-09,0.07407109874654083,0.09122636001026298,0.09122633826020385,0.09080762787188733,0.09121930211607522,0.08628579057870742,0.002957021132781577,0.04756643862780922,2.718757391281813e-08,0.09035678720872063,0.08381517961204267,0.0673871587629145,0.09121791554980566
0.0,0.00028392055144163314,8.087906092551721e-09,0.090016065493146,0.00020231357896778626,0.0007089777601669913,5.3919373950344806e-09,0.08083884246448765,0.09046169833497081,0.09046168215915863,0.09009093254387605,0.09043916542859697,0.08623665707128272,0.0025277887782287197,0.054479234985883425,4.3135499160275845e-08,0.0890136989394717,0.08235003536625657,0.061434375910799324,0.09045455401792239
0.0,0.0002308626935606863,5.377403651371618e-09,0.08978872425725627,0.00015538276720820858,0.0006355069409227492,5.377403651371618e-09,0.08401774843264076,0.09021786257825033,0.09021785182344302,0.08984867155316176,0.09016573402725393,0.08505846424830897,0.002066009237664278,0.0555310870245909,3.7641825559601324e-08,0.08849835172226583,0.0848941039057048,0.05846279372128219,0.09021079666985243
0.0,9.135785849956414e-05,2.7360844114873956e-09,0.09149997619606562,0.00026798852376754446,0.0009351088332296357,5.472168822974791e-09,0.08680817695242879,0.09180775833151383,0.09180775285934502,0.0915041624052152,0.09177019736471294,0.08466282410971918,0.0020739711364983265,0.055783989419014364,4.651343499528573e-08,0.08837172880587973,0.0818275402218089,0.04898898944911129,0.09179842281150184
