Measurment,Ret,Sha,Sor,Ste,Cal
Active return,11.88,10.59,-1.73,10.73,11.59
mu(all),-7.53,-3.08,-4.58,-0.91,-4.26
sig(all),3.54,4.09,3.5,3.32,3.52
mu(sel),0.71,0.34,6.22,-3.04,-5.86
sig(sel),2.69,2.96,2.76,3.3,3.49
