Measurement,Ret,Sha,Sor,Ste,Cal
Ret,34.72,33.239999999999995,21.01,33.42,34.32
AvgRet,3.9,3.831,2.591,3.799,3.862
Std,58.958,69.455,64.248,62.175,58.825
MDD,-0.1059,-0.1999,-0.1732,-0.1323,-0.0914
VaR,-0.012,-0.0146,-0.0137,-0.0133,-0.0121
CVaR,-0.0168,-0.0225,-0.0207,-0.019,-0.0174
