Measurement,Ret,Sha,Sor,Ste,Cal
Sharpe,1.592,1.296,0.902,1.456,1.578
Sortino,2.211,1.476,1.109,1.93,2.121
Sterling,6.655,5.607,3.544,6.581,7.216
Calmar,2.022,1.028,0.763,1.562,2.318
