Measurement,Ret,Sha,Sor,Ste,Cal
Ret,17.810000000000002,46.36,18.62,41.65,29.080000000000002
AvgRet,2.246,4.999,2.328,4.539,3.389
Std,62.881,68.704,61.953,60.939,62.83
MDD,-0.2399,-0.1542,-0.1805,-0.1332,-0.1472
VaR,-0.014,-0.0135,-0.0135,-0.0143,-0.0134
CVaR,-0.0187,-0.0215,-0.0203,-0.0186,-0.0201
