Measurment,Ret_ESG,Sha_ESG,Sor_ESG,Ste_ESG,Ret,Sha,Sor,Ste
Active return,0.7801843733598213,0.7815890588104758,0.7555562018710344,0.7212278354488288,0.7809443952023828,0.7967852098934193,0.7783474665262833,0.7791958841869585
mu(all),-3.624750468075079e-05,-3.641246276395879e-05,-1.7829964440273887e-05,-3.859672103122894e-05,-3.6384150682787356e-05,-3.316696540892755e-05,-3.610536469006822e-05,-3.657323466762619e-05
sig(all),0.002700716968709455,0.0027487329697337766,0.0022307490259850294,0.0027469997436486682,0.002700659814337114,0.003221628487960747,0.0027028636655388456,0.0027144256030674414
mu(sel),-6.471020444036275e-05,-6.384391922580362e-05,-9.089811794922399e-05,-9.254775220278576e-05,-6.415593774777998e-05,-5.792640654494229e-05,-6.579084183290267e-05,-6.489858848215041e-05
sig(sel),0.005212229791242137,0.005138236737843953,0.009901843923051372,0.007750073564391137,0.005214627607412367,0.006089122241790075,0.005260169300800777,0.005217974088941588
